Genre, Descriptors
Abstract Hip Hop, food, sampling, concept album, playful, humorous, abstract, quirky, alcohol
Abstract Hip Hop, lo-fi, introspective, sampling, abstract, death, depressive, lethargic, deadpan
Abstract Hip Hop, ominous, sampling, futuristic, nocturnal, humorous, dark, urban, abstract
Abstract Hip Hop, sampling, playful, abstract, humorous, cryptic, mysterious, surreal, eclectic
Acoustic Rock, acoustic, melancholic, introspective, melodic, sombre, passionate, lonely, pessimistic
Adult Contemporary, love, romantic, ballad, technical, melodic, passionate, sentimental
Adult Contemporary, sentimental, passionate, romantic, love, uplifting, rhythmic, self-love, longing
Afrobeat, protest, rhythmic, energetic, political, repetitive, rebellious, passionate, conscious
Afrobeat, rhythmic, energetic, protest, repetitive, rebellious, passionate, tropical, playful
Alt-Country, melancholic, poetic, bittersweet, lonely, introspective, longing, passionate, death
Alternative Metal, atmospheric, anxious, heavy, sexual, melancholic, passionate, drugs, sensual
Alternative Metal, political, manic, heavy, aggressive, conscious, energetic, quirky, playful
Alternative Metal, uncommon time signatures, philosophical, complex, progressive, existential, heavy, introspective, spiritual
Alternative R&B, introspective, LGBTQ, bittersweet, atmospheric, mellow, drugs, sexual, sensual
Alternative R&B, romantic, warm, summer, sexual, lonely, bittersweet, LGBTQ, introspective
Alternative Rock, bittersweet, melancholic, dense, introspective, noisy, melodic, passionate, alienation
Alternative Rock, lonely, anxious, love, raw, self-hatred, longing, passionate, noisy
Alternative Rock, lonely, melancholic, energetic, anxious, introspective, self-hatred, melodic, noisy
Alternative Rock, melancholic, anxious, alienation, futuristic, existential, lonely, atmospheric, cold
Alternative Rock, melancholic, melodic, lonely, anxious, introspective, bittersweet, alienation, existential
Alternative Rock, melancholic, passionate, eclectic, bittersweet, angry, nocturnal, introspective, dense
Alternative Rock, passionate, melancholic, bittersweet, love, romantic, introspective, poetic, longing
Ambient, atmospheric, mysterious, ominous, surreal, instrumental, minimalistic, ethereal, dark
Ambient, peaceful, atmospheric, lonely, soothing, instrumental, mellow, soft, meditative
Ambient Techno, atmospheric, instrumental, futuristic, ethereal, hypnotic, soothing, rhythmic, repetitive
Art Pop, atmospheric, melancholic, sombre, introspective, lush, mellow, soft, longing
Art Pop, concept album, lush, love, ethereal, passionate, romantic, melodic, poetic
Art Pop, eclectic, melancholic, political, lonely, urban, conscious, cryptic, concept album
Art Pop, eclectic, passionate, quirky, playful, lush, romantic, futuristic, abstract
Art Pop, eclectic, playful, dense, lush, anxious, complex, melodic, progressive
Art Pop, manic, playful, surreal, anxious, complex, quirky, progressive, eclectic
Art Pop, mellow, futuristic, psychedelic, warm, rhythmic, uncommon time signatures, political, lush
